1.100000000000000000e+01,1.000000000000000000e+01
1.600000000000000000e+01,1.100000000000000000e+01
1.700000000000000000e+01,4.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+01
3.300000000000000000e+01,1.400000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+00
4.500000000000000000e+01,9.000000000000000000e+00
5.000000000000000000e+01,1.200000000000000000e+01
5.100000000000000000e+01,2.000000000000000000e+00
6.200000000000000000e+01,1.200000000000000000e+01
6.700000000000000000e+01,1.300000000000000000e+01
6.800000000000000000e+01,4.000000000000000000e+00
7.900000000000000000e+01,1.100000000000000000e+01
8.400000000000000000e+01,1.300000000000000000e+01
8.500000000000000000e+01,4.000000000000000000e+00
9.600000000000000000e+01,1.000000000000000000e+01
1.010000000000000000e+02,1.300000000000000000e+01
1.020000000000000000e+02,3.000000000000000000e+00
1.130000000000000000e+02,1.200000000000000000e+01
1.180000000000000000e+02,1.200000000000000000e+01
1.190000000000000000e+02,4.000000000000000000e+00
1.300000000000000000e+02,1.100000000000000000e+01
1.350000000000000000e+02,1.100000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+00
1.470000000000000000e+02,9.000000000000000000e+00
1.520000000000000000e+02,1.400000000000000000e+01
1.530000000000000000e+02,2.000000000000000000e+00
1.640000000000000000e+02,9.000000000000000000e+00
1.690000000000000000e+02,1.100000000000000000e+01
1.700000000000000000e+02,3.000000000000000000e+00
